Groups:
camcap:camcap_1|data_in_R[7..0] =, camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0],  hex

Data:
time unit: ps, camcap:camcap_1|data_in_R[7..0], camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0], camcap:camcap_1|trig_0_R, 
0, XX, X, X, X, X, X, X, X, X, X, 
4540, 22, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
4560, 23, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
4580, 24, 0, 0, 1, 0, 0, 1, 0, 0, 0, 
4600, 25, 0, 0, 1, 0, 0, 1, 0, 1, 0, 
4620, 26, 0, 0, 1, 0, 0, 1, 1, 0, 0, 
4640, 27, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
4660, 28, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
4680, 29, 0, 0, 1, 0, 1, 0, 0, 1, 0, 
4700, 2A, 0, 0, 1, 0, 1, 0, 1, 0, 0, 
4720, 2B, 0, 0, 1, 0, 1, 0, 1, 1, 0, 
4740, 2C, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
4760, 2D, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
4780, 2E, 0, 0, 1, 0, 1, 1, 1, 0, 0, 
4800, 2F, 0, 0, 1, 0, 1, 1, 1, 1, 0, 
4820, 30, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
4840, 31, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
4860, 32, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
4880, 33, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
4900, 34, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
4920, 35, 0, 0, 1, 1, 0, 1, 0, 1, 0, 
4940, 36, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
4960, 37, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
4980, 38, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
5000, 39, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
5020, 3A, 0, 0, 1, 1, 1, 0, 1, 0, 0, 
5040, 3B, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
5060, 3C, 0, 0, 1, 1, 1, 1, 0, 0, 0, 
5080, 3D, 0, 0, 1, 1, 1, 1, 0, 1, 0, 
5100, 3E, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
5120, 3F, 0, 0, 1, 1, 1, 1, 1, 1, 0, 
5140, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
5160, 41, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
5180, 42, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
5200, 43, 0, 1, 0, 0, 0, 0, 1, 1, 0, 
5220, 44, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
5240, 45, 0, 1, 0, 0, 0, 1, 0, 1, 0, 
5260, 46, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
5280, 47, 0, 1, 0, 0, 0, 1, 1, 1, 0, 
5300, 48, 0, 1, 0, 0, 1, 0, 0, 0, 0, 
5320, 49, 0, 1, 0, 0, 1, 0, 0, 1, 0, 
5340, 4A, 0, 1, 0, 0, 1, 0, 1, 0, 0, 
5360, 4B, 0, 1, 0, 0, 1, 0, 1, 1, 0, 
5380, 4C, 0, 1, 0, 0, 1, 1, 0, 0, 0, 
5400, 4D, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
5420, 4E, 0, 1, 0, 0, 1, 1, 1, 0, 0, 
5440, 4F, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
5460, 50, 0, 1, 0, 1, 0, 0, 0, 0, 0, 
5480, 51, 0, 1, 0, 1, 0, 0, 0, 1, 0, 
5500, 52, 0, 1, 0, 1, 0, 0, 1, 0, 0, 
5520, 53, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
5540, 54, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
5560, 55, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
5580, 56, 0, 1, 0, 1, 0, 1, 1, 0, 0, 
5600, 57, 0, 1, 0, 1, 0, 1, 1, 1, 0, 
5620, 58, 0, 1, 0, 1, 1, 0, 0, 0, 0, 
5640, 59, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
5660, 5A, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
5680, 5B, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
5700, 5C, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
5720, 5D, 0, 1, 0, 1, 1, 1, 0, 1, 0, 
5740, 5E, 0, 1, 0, 1, 1, 1, 1, 0, 0, 
5760, 5F, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
5780, 60, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
5800, 61, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
5820, 62, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
5840, 63, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
5860, 64, 0, 1, 1, 0, 0, 1, 0, 0, 0, 
5880, 65, 0, 1, 1, 0, 0, 1, 0, 1, 0, 
5900, 66, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
5920, 67, 0, 1, 1, 0, 0, 1, 1, 1, 0, 
5940, 68, 0, 1, 1, 0, 1, 0, 0, 0, 0, 
5960, 69, 0, 1, 1, 0, 1, 0, 0, 1, 0, 
5980, 6A, 0, 1, 1, 0, 1, 0, 1, 0, 0, 
6000, 6B, 0, 1, 1, 0, 1, 0, 1, 1, 0, 
6020, 6C, 0, 1, 1, 0, 1, 1, 0, 0, 0, 
6040, 6D, 0, 1, 1, 0, 1, 1, 0, 1, 0, 
6060, 6E, 0, 1, 1, 0, 1, 1, 1, 0, 0, 
6080, 6F, 0, 1, 1, 0, 1, 1, 1, 1, 0, 
6100, 70, 0, 1, 1, 1, 0, 0, 0, 0, 0, 
6120, 71, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
6140, 72, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
6160, 73, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
6180, 74, 0, 1, 1, 1, 0, 1, 0, 0, 0, 
6200, 75, 0, 1, 1, 1, 0, 1, 0, 1, 0, 
6220, 76, 0, 1, 1, 1, 0, 1, 1, 0, 0, 
6240, 77, 0, 1, 1, 1, 0, 1, 1, 1, 0, 
6260, 78, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
6280, 79, 0, 1, 1, 1, 1, 0, 0, 1, 0, 
6300, 7A, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
6320, 7B, 0, 1, 1, 1, 1, 0, 1, 1, 0, 
6340, 7C, 0, 1, 1, 1, 1, 1, 0, 0, 0, 
6360, 7D, 0, 1, 1, 1, 1, 1, 0, 1, 0, 
6380, 7E, 0, 1, 1, 1, 1, 1, 1, 0, 0, 
6400, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 
6420, 80, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
6440, 81, 1, 0, 0, 0, 0, 0, 0, 1, 0, 
6460, 82, 1, 0, 0, 0, 0, 0, 1, 0, 0, 
6480, 83, 1, 0, 0, 0, 0, 0, 1, 1, 0, 
6500, 84, 1, 0, 0, 0, 0, 1, 0, 0, 0, 
6520, 85, 1, 0, 0, 0, 0, 1, 0, 1, 0, 
6540, 86, 1, 0, 0, 0, 0, 1, 1, 0, 0, 
6560, 87, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
6580, 88, 1, 0, 0, 0, 1, 0, 0, 0, 0, 
6600, 89, 1, 0, 0, 0, 1, 0, 0, 1, 0, 
6620, 8A, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
